name,id,twitter
0 Ventures,r1a7zj,
08 Capital,e7zfe7,
0xLawliette,7yvpc9,https://x.com/0xlawliette
0xVentures,k93k29,https://twitter.com/0xVenturesCap
100&100,bv2lun,
10H,t5ccvg,https://x.com/10hCapital
10X,h09snm,https://x.com/10XCapitalVC
186 Ventures,wb49st,https://twitter.com/186ventures
18Ventures,bf6y5u,https://x.com/18_ventures
1Confirmation,mp2gqb,https://twitter.com/1confirmation
1kx,bspyld,https://twitter.com/1kxnetwork
1NVST,56gubq,https://twitter.com/_1nvst_
1PAR,wsbapa,https://www.twitter.com/shawnxlin
2 Punks,s212gm,https://x.com/2punkscapital
2048 Ventures,dsinl9,https://x.com/2048vc
2c9,dai51z,
2Moon,oby8hh,https://x.com/ToMoonCapital
3 Chaps,ilq2gw,
305 Ventures,dnl49s,https://x.com/305venture
37 Angels,uu9js5,https://x.com/37angelsny
3AC,b8gebp,https://x.com/3arrowscap
3Commas,6ueww6,https://x.com/3commas_io
3GR,e4xh6i,
3one4,4zcbhk,https://x.com/3one4Capital
3Tweleve Cash,pt62tc,
3X,pdp1mt,https://x.com/capital_3x
4 Seasons,4j4oj3,
406 Ventures,wrgnv3,https://x.com/406Ventures
49th State Angels,pkaqi7,https://x.com/49saf
4ward,p69jgl,
4YF,fue5t7,
500 Global,vmqmcr,https://x.com/500GlobalVC
515 Capital,3jocjo,
5G Open Innovation Lab,uog43p,https://x.com/5GOILab
5G,0otk44,
645 Ventures,zbfwcv,https://x.com/645ventures
6529 Ventures,0ga0g3,https://x.com/6529capital
6ixth Event,gow2jo,https://x.com/6ixthevent
6K Starter,ycxcre,https://x.com/6kstarter
6th Man,hol96b,https://x.com/6thmanventures
7 O'clock,z2j0xs,
7 Star,cvqnc5,
75 & Sunny Labs,8vyzyl,https://x.com/75SunnyVentures
7feur,wdijri,https://x.com/7feur
7UpDAO,r07kjn,https://x.com/7updao
8 Decimal,2q8xba,https://x.com/8Decimal
84000LP,cuzsxp,
9Unicorns,jt1491,https://x.com/9UnicornsVC
9Yards,dxtuis,https://x.com/9yardscapital
A Inn,0zuwkc,
A.Capital,92ar5l,https://x.com/acapitalv
A&T,1zgufc,https://x.com/at_capital2021
A100x,zpuq9r,https://x.com/a100x_invest
a16z,d40or5,https://x.com/a16zcrypto
A195,7jssah,
A2E Industries,84utkl,
a41,7bn5bf,https://x.com/a41_allforone
