name,id,BURN,LOCKED_BALANCE,MINT,PRICE,REVENUE,NET_REVENUE,SUPPLY,TIME_SERIES,KEY_METRIC,NODE_NUMBER
Livepeer,0dpzm4,,,2944847,,2944851,,2944838,,,
Geodnet,scli9r,,2944845,2944854,2944842,3402097,,,,,3471880
Helium,5bm99m,,,2573591,,2944853,3410571,3043582,2944860,3223298,3476664
WiFi Map,xz6ffz,2944858,2944856,2944857,,,,,,,
Althea,nag833,,,,,3079022,,,,,
Braintrust,8mk3xj,3151399,3168279,3168277,3151429,,,,,,
The Graph,x3ay3v,,3168407,3168410,3168415,,,,,,
Storj,arwynb,3202771,,,3202773,,,,,,
DIMO,0wr2ea,,,,,,,,,3241310,3448434
Autonolas,5wvni1,,,,3380149,3254432,,,,3254434,
Render,drs2bu,,,,,3348331,,,,,
Aethir,oo2cn2,,,,,,,,,,3541928
XNET,pyz7yz,3561298,,,,,,3561281,,,3561331
