,Project Name,0xScope,375ai,3DOS,3NUM,4everland,AdHash,Adot,Aethir,Agnostic,Agnostiq,Agrotoken,Aimedis,Aimelia,AIOZ,AIT,Akash,Akord,Aleph,Alethea,Allora,Altered State,Althea,Ambient,Andrena,Anomaly,Antimetal,Arcium,ArDrive,Armur,Arweave,Aston,Atlas Navi,Autonolas,B-cube.ai,B-Datagray,Bagel,Banyan,Barterchain,Beegol,Beyond,Bird.Money,Bittensor,Black Sheep,Blackbird,bloXmove,Bloxtel,Bluebird Power,Bluwhale,Borlaug,Botto,Braintrust,Brastorne,Bware Labs,Cedalio,Ceramic,CESS,ChainML,CharacterX,cheqd,Cindicator,Clique,Cluster,ColdStack,Connect3,Coral,Cortex Labs,Covalent,Crewdle,Croquet,Cryptosat,Cudos,d.id,D3,Daylight,dClimate,DeepBrain,DeepSquare,DeMR,DePHY,Digital Gaia,Dimitra,DIMO,DIN,DLTEO,Dmail,dotmoovs,DRIFE,DTravel,EARNM,Eclipse,Efani,ELOOP,EMC Protocol,Energy Web,Entangle,Entheos,EpiK,EtherMail,Ethstorage,everVision,Everyworld,Exabits,EYWA,EZ WiFi,Fanztar,Fetch.ai,Filebase,Filecoin,FileStar,Fileverse,Firstbatch,Fission,Flare,Fleek,Flock,Fluence,Foam,Fog Works,Foundry,Freatic,Functionland,GaiaNet,GamerCoin,Gelato,Genomes.io,Geodnet,GIANT,GitPOAP,Giza,GLIF,Golem,GoQii,Gora,GPU.Net,Grass,Greensparc,Growfitter,Handshake,Healthtracka,heata,Helium,Hemera,Hexagon,Hivello,Hivemapper,HOPR,Hotspotty,Huddle01,Humanode,Humanscape,Hyperbolic,Hyperline,Hyperspace,Iagon,IMGNAI,Impossible Cloud,Inference Labs,Integritee,IO.Net,IOTA,IoTeX,IQ,Irys,Jasmine,Jiritsu,Jur,Kandola,Karrier One,Kilt,KIP,Koii,Kosen,Kryptview,Kuva,Kwil,KYVE,Lava,Lavita.AI,Lighthouse,Livepeer,Lumino,Lumoz,Lunyr,MaidSafeCoin,Manta,Masa,Massive,Mawari,MemoLabs,Menthol,Meson,Metablox,MetaGravity,MetaPhone,MobiFi,Modal,Modulus,Moflix,Mogul,Multisynq,myMessage,Myna,MyShell,Mystiko,NATIX,NeuralAgent,Neurosity,Neutroon,Nevermined,NexBloc,NexGen Cloud,Nextdata,Nirvana,NodeOps,NodeShift,Nodle,NoorNation,Nosh,Numerai,NuNet,Nutbox,Nym,Only1,Onocoy,Oort,Opolis,Ora,Orbofi AI,Pano AI,Peaq,Petastic,Phala,Photon,Planetwatch,Plural,POKT,Pollen Mobile,Ponder,Portalverse,Poseidon,PrimeIntellect,Privasea,Proof of Play,Prophetic,ProximaX,PublicAI,PureFi,Push,Pyth,QnA3,Quadency,Radicle,Raiinmaker,RAK,Rapidata,Raven,Really,RedStone,Renatus,Render,RingFence,Ritual,Root Protocol,RSS3,Runloop,Rymedi,Sahara,Sapien,Sarcophagus,SecondLive,Sending Labs,Shadeform,Shardeum,Shibuya,Sia,Siglo,Silencio,SingularityNET,Sinso,Sitenna,Skillful,Smlxl,Solak,Somos,SONM,SophiaVerse,Space & Time,Spacemesh,Spexi,Sphere,Spheron,StackOS,SteerFinance,StepN,Store,Storj,Subconscious,SQD,Superlocal,Supra,Suptho,Swan Chain,Sweat Economy,Switchboard,Synesis One,Synternet,Ta-Da,Talus,Tanssi,TEA Project,Teleport,Tempo,Tensorplex,Terminal3,Theta Fuel,Together.ai,Trace,Tresorio,Trixta,Tromero,UKISS,Untangled,Uplink,Vaiot,Validation Cloud,Verisoul,Veritree,VIP3,VO2,Waev,Wayru,WeatherXM,Weavechain,Weaver Labs,WeDataNation,WeHealth,WiCrypt,WiFi Map,Wiman,Woolly Farms,World Mobile,XMTP,XNET,Ylide,YogaPetz,Zeetta,Zonal,Zoth
Investment Firm,Investor Id/Project Id,0hgye7,cvzsdf,5dho62,f5qe2h,0tmpgv,p6m3rb,iuet6b,oo2cn2,2pv22r,anzeat,r2yc3l,p864om,7x1eif,tpqdbi,ux0c4s,qmmyw0,5fwdog,shwbn0,zzxlj6,qs7j6q,9limss,nag833,ze30wc,tgalub,w3efzq,gzcc2r,v29y88,e9qw0z,ka2bzq,0vks67,7wi7uw,dc50kw,5wvni1,qug1e6,t47npe,0f91ta,jkyr67,v8cjbl,qvuc9n,3kk637,64mpyg,hq4rl7,dg3bp5,vhqz3k,3xdu4v,8ukwaw,h56lyg,fbhsnz,g2f9pf,uyclvb,8mk3xj,g7czmv,udxaxs,w0adea,ancy5d,qdkzic,ae73hb,06sxnp,o6gk4u,cor8db,redik6,lkgf4g,dka3hq,hxfsp3,pwn1js,pd82aa,cfxf9v,zy7wfi,pl7b4k,9agce6,jitkjs,4giuvo,6y7ind,3lfveq,a5w7th,c1de2i,5ymc3k,pfd72p,gmxzzx,hq0zgu,18fpn9,0wr2ea,eiyl95,byzgll,84v1j0,lipfwr,con8un,37xksc,glylqg,dgqlyo,w1b0je,c0u4u3,2l10iw,tjcjjf,upuriv,0if1hs,0lasch,hoaz0e,2kn4hu,zr5vzn,si0rd5,ks1fra,tbwx5g,oazct0,94944x,mhpovr,ush02g,r1uv9t,h7mk5k,gtzdge,xjzev4,dkaff9,8u08fw,7f3dsw,ruqwx5,ul9uzl,olxxfj,aqg014,9ngp9i,php632,4z5caf,wg92va,z2gapv,lvwe8x,lfu9ni,scli9r,jl19aq,2fl69i,nlkbyo,mw0azh,j4istz,tkkrfm,x4c5qz,a3fzi6,9qbidj,j8knk9,8ve4hw,m9gkfk,mq0qgk,mcke93,5bm99m,uefnla,vwstsz,560f30,o1qnxa,rdr178,8hmhev,3r2xgz,ful6z6,6ixtt2,8heoo1,y0wpxj,oevejl,omgud6,du3f01,qcgu9q,qi9eg6,6hlk6x,61zuw7,gobzn5,oqhdss,8gkezm,tjyvc7,bwhoon,j68t8z,y5mzyr,8y4g79,j9n1l6,bcanxl,wwnksh,xfjtib,6b3lxu,3zopno,77bx8k,9xue69,u6mo76,jq8mvz,tylsdp,24l8zf,0dpzm4,3ttk4l,x60254,74rmzw,ubmhxr,m3djiu,dahm7v,s4glrh,ygaj99,8ul10b,b9egeq,wop23m,k5fxwj,jvfvyy,prs8dc,ars9qg,xegpzk,93up2s,u35fhl,129mdn,5c2tug,1rcuf0,wqoxyk,1gfb8a,eakhga,uq4s3v,8deftt,6bppe0,uktna7,4rizhn,i27v9c,gw1fz5,3wnonl,u2tfjc,7qgg1c,eivutq,znawjs,dwfwvv,k270zx,lw588k,6wpm8m,45u6hy,5gc718,ennb7m,n77nem,apu26o,ees7sx,l6awms,1sydts,111p2s,vx7fas,g32gdz,2zgyts,0k8gq4,qxqpla,5uioqo,wreq2k,goiapt,84yzdf,6uwhcg,hosx2o,qjinko,2qrtt6,f0g5ra,n08otn,nwrj6s,11aqyc,5u6ch6,nhurl1,5fwmoi,zllg2h,8tp7y2,n2u1ny,bw9zs2,v959ss,y47135,r3vxyu,twhfdd,ap3amn,83jvhp,drs2bu,v84vfv,ntppvh,z1ks7o,1tdy5h,f9rhe0,aexn5y,a2h6y8,k2xr2i,se7wj7,6qvjpf,xe4qlj,d4dfm9,g65u6w,rgobsb,esjdj0,7gjqft,5m6dp8,48m8lh,tde0ef,xeu3zu,8lb0be,x6phis,6om468,ads6qy,qjzgqy,7bo0uv,heeyow,ojaphf,xjyor4,76qa11,bpnvkv,kd6pyc,nfdwqm,9ptjw7,nb0mpn,arwynb,5xypv6,cp4cw6,3czn02,2d4mvd,rku44v,v3ycrj,c0amvh,iik6nb,mhf5jn,m9yv19,5mgqgs,l56q27,zc045a,xmaehz,aehc1q,l84cmm,fuqiiy,gf055c,bsun3b,rr8fxt,bjvhmg,l7nsll,3ztu6q,hi03tk,4uhpxf,xexd0a,hq5oeh,sa6vqu,rzmrjq,2gzcyz,hhtpfc,517uvj,6q3z9k,mwkpfa,e9hjh5,ff9s3p,s1imi6,nyvs73,ah17kx,80us6v,ynsj12,xz6ffz,ypklkh,xh846b,fo1iua,rvdlk1,pyz7yz,zug89a,1gh368,6gz71b,gsucx5,4l25dn
0 Ventures,r1a7zj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xLawliette,7yvpc9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0xVentures,k93k29,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100&100,bv2lun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10X,h09snm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186 Ventures,wb49st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18Ventures,bf6y5u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kx,bspyld,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1NVST,56gubq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2c9,dai51z,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2Moon,oby8hh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
