,Project Name,2blox,3DOS,4EverLand,Akash,Aleph,Andrena,Ankr,Arkreen,Arweave,BitTensor,Boring,Braintrust,Ceramic,Constellation,Crust,CUDOS,Daylight Energy,Deeper,DIMO,Drife,Element,Fetch AI,Filecoin,Fleek,Flux,Foam,Frodobots,FX Land,Gensyn,Geodnet,Getdor,Golem,HiveMapper,Holo,iExec,IoTeX,Jackal,Karrier One,Kwill,Lit,Livepeer,MaidSafe,Masq,MatchX,Media Network,Meson,MetaBlox,Mysterium,NATIX,NKN,Nodle,Nosh Delivery,Ocean,Onocoy,Orchid,OriginTrail,OTOY,Planet Watch,Pocket,Pollen Mobile,Polybase,Presearch,Prophetic AI,REALLY,ScPrime,Sentinel,Sia,Soarchain,Space and Time,Spexigon,Starpower,Storj,Stratos,Streamr,Swarm,The Graph,Theta,Threefold,Verasity,WayRu,WeatherFlow,WeatherXM,WiCrypt,Wifi Dabba,WiFi Map,World Mobile,XNET,Zus
Investment Firm,Investor Id/Project Id,b87zfz,5dho62,0tmpgv,qmmyw0,ndjz6b,tgalub,hqtk8u,f918a3,0vks67,hq4rl7,whkmqt,8mk3xj,ancy5d,ol6f66,x2nise,jitkjs,7j9yo4,3s1vpm,0wr2ea,con8un,yhpj92,mhpovr,t59kqa,eu4u3i,0t3lhn,olxxfj,zsejow,4z5caf,sr3cg5,scli9r,dyrwx5,jkahfp,o1qnxa,lp1mgw,2drl3l,oqhdss,127k4x,j9n1l6,9xue69,36f3to,0dpzm4,ubmhxr,0ezngt,sr6yh3,iqnvgc,q3ku4k,k5fxwj,8ci5ud,uq4s3v,xi19vn,znawjs,k270zx,qbhkmt,n77nem,vg1qec,v9wsjb,drs2bu,qxqpla,wreq2k,goiapt,a8p168,7mrkii,n08otn,twhfdd,ui2nbm,r77x1a,esjdj0,4mpqg0,heeyow,xjyor4,3gatyy,arwynb,4jq13p,o1pv7k,8s783v,x3ay3v,bsun3b,7exuma,20y2yy,g2acbm,4xa4u6,ff9s3p,ynsj12,5nxhtv,xz6ffz,fo1iua,pyz7yz,q97oiz
100&100,bv2lun,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18Ventures,bf6y5u,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1kx,bspyld,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3Commas,6ueww6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Seasons,4j4oj3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42 Fund,ezlir7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42DAO,99hm5u,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6K Starter,ycxcre,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6th Man,hol96b,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 O'clock,z2j0xs,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75 & Sunny,qcsvko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7percent,oval6k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
